,Name,University,Sport,Sponsors
3,Christopher Allen,University of Alabama,Football,PSD Underwear                                                                      Yoke Gaming
4,CJ Dippre,"University of Maryland, College Park",Football,Barstool Sports
5,Fabiola Declet,Florida International University,Cross Country,Barstool Sports
6,Madison Harms,University of South Dakota,Volleyball,Barstool Sports
7,Matthew Cleveland,Florida State University,Basketball,Yoke Gaming
8,Javion Cohen,University of Alabama,Football,Barstool Sports                                                                      Yoke Gaming
9,LaTrell Bumphus,University of Tennessee,Football,Yoke Gaming
10,Theo Jackson,University of Tennessee,Football,Yoke Gaming
11,Dariauna Lewis,Alabama Agricultural and Mechanical University,Basketball,Barstool Sports
12,Tia Dorshorst,University of WisconsinâMadison,Track and Field,Barstool Sports
13,Morgan Pankow,University of Miami,Golf,Barstool Sports
14,Luke Olson,University of South Dakota,Track and Field,Barstool Sports
15,Maddy Siegrist,Villanova University,Basketball,Barstool Sports                                                                      Outback Steakhouse
16,Natalie Smith,San Diego State University,Volleyball,Barstool Sports
17,Jaden Pask,Davidson College,Football,Barstool Sports
18,Evan Russell,University of Tennessee,Baseball,Barstool Sports
19,Jake Lynch,Stanford University,Football,Barstool Sports
0,Christian Dicochea,University of Washington,Baseball,Barstool Sports
1,Ali Gaye,Louisiana State University,Football,Barstool Sports
2,Justin Ademilola,University of Notre Dame,Football,Six Star Pro Nutrition
3,Jayson Ademilola,University of Notre Dame,Football,Six Star Pro Nutrition
4,D.J. Uiagalelei,Clemson University,Football,Bojangles
5,Olivia Dunne,Louisiana State University,Gymnastics,
6,Dontaie Allen,University of Kentucky,Basketball,
7,Drew Swinney,Clemson University,Football,Rhoback
8,Will Swinney,Clemson University,Football,
9,Aidan Hutchinson,University of Michigan,Football,PSD Underwear
10,E.J. Liddell,The Ohio State University,Basketball,
11,Justyn Ross,Clemson University,Football,
12,Isaiah Spiller,Texas A&M University,Football,Raising Canes
13,Josh Thompson,University of Texas at Austin,Football,
14,Keith Brown,University of Oregon,Football,PSD Underwear                                                                      SoHoodie
15,Michael Trigg,University of Southern California,Football,SoHoodie
16,Jackson Powers-Johnson,University of Oregon,Football,PSD Underwear                                                                      SoHoodie
17,Moliki Matavao,University of Oregon,Football,GOÂ² Football                                                                      SoHoodie
18,Breece Hall,Iowa State University,Football,GOÂ² Football
19,Carlos Del Rio-Wilson,University of Florida,Football,PSD Underwear
0,"Michael Johnson, Jr.",Florida Atlantic University,Football,
1,Patrick Callan,University of Michigan,Swimming and Diving,Rhoback
2,Alex Ross,University of Southern California,Golf,Barstool Sports                                                                      Rhoback
3,Tyler Baron,University of Tennessee,Football,Metro Straw
4,Lauren Myrick,Mississippi State University,Volleyball,Barstool Sports
5,Jarrett Patterson,University of Notre Dame,Football,Barstool Sports
6,Jesse Vasquez,Utah State University,Football,Barstool Sports
7,Jake Kyman,"University of California, Los Angeles",Basketball,Barstool Sports
8,Sasha Stefanovic,Purdue University,Basketball,Barstool Sports
9,Daniel Joseph,North Carolina State University,Football,Barstool Sports
10,Nevaeh DeSouza,"University of California, Berkeley",Gymnastics,Barstool Sports
11,Luke Tenuta,Virginia Tech,Football,Barstool Sports
12,Avery Spencer,Radford University,Baseball,Barstool Sports
13,Meredith Fisher,University of Texas at Arlington,Volleyball,Barstool Sports
14,Isaiah Perry,Florida State University,Baseball,Barstool Sports
15,Maya Green,"University of California, Berkeley",Gymnastics,Barstool Sports
16,Jaylon Griffin,University of Central Florida,Football,Barstool Sports
17,Julia Rabadam,University of Cincinnati,Golf,Barstool Sports                                                                      Go Puff
18,Brady Manek,University of North Carolina at Chapel Hill,Basketball,Barstool Sports
19,Kathryn Wesolich,University of Central Florida,Volleyball,Barstool Sports
0,Matt Corral,University of Mississippi,Football,
1,Jake Schoffstall,Bradley University,Soccer,Barstool Sports
2,Jimmy Boeheim,Syracuse University,Basketball,
3,Amber Brewster,Iona College,Lacrosse,Barstool Sports                                                                      Barstool Sports
4,Julian Reese,"University of Maryland, College Park",Basketball,Outback Steakhouse
5,Donta Scott,"University of Maryland, College Park",Basketball,
6,Mia Isaac,"University of Maryland, College Park",Soccer,Barstool Sports
7,Mya Jackson,Seton Hall University,Basketball,Barstool Sports                                                                      Barstool Sports
8,Bubba Bolden,University of Miami,Football,
9,Tyler Shough,Texas Tech University,Football,
10,Deja Kelly,University of North Carolina at Chapel Hill,Basketball,Outback Steakhouse
11,Eriq Gilyard,University of Central Florida,Football,
12,Daniel McCullon,University of Central Florida,Football,Barstool Sports
13,Anna Henderson,University of Central Florida,Soccer,
