,Name,University,Sport,Sponsors
13,Bridget Parker,Dartmouth College,Swimming and Diving,Barstool Sports
14,Chidi Nna,Bryant University,Football,Barstool Sports
15,Isaiah Cohens,Gonzaga University,Baseball,Barstool Sports
16,Garrett Lyons,Saint Joseph's University,Soccer,Barstool Sports
17,Alexa Hasting,West Virginia University,Volleyball,Barstool Sports
18,Kylee Harvey,Sacred Heart University,Softball,Barstool Sports
19,Adam Goodsir,Michigan State University,Ice Hockey,Barstool Sports
0,Robert Gallop,Boston University,Lacrosse,Barstool Sports
1,Bogdan Ivanov,Pennsylvania State University,Volleyball,Barstool Sports
2,Michael Mallas,Lafayette College,Baseball,Barstool Sports
3,Garrett Dzuro,University of Massachusetts Amherst,Football,Barstool Sports
4,Ayaan Sohail,Lamar University,Basketball,Barstool Sports
5,Nate Vontz,Creighton University,Golf,Barstool Sports
6,Campbell Parker,The Citadel,Football,Barstool Sports
7,Andre Gonzales,The Ohio State University,Wrestling,Barstool Sports
8,Alex Reelfs,Santa Clara University,Baseball,Barstool Sports
9,Tucker Denault,Jacksonville University,Lacrosse,Barstool Sports
10,Evan Brown,University of Mississippi,Golf,Barstool Sports
11,Justin Rabin,Loyola University New Orleans,Golf,Barstool Sports
12,Claudia Dipasupil,University of Tennessee,Soccer,Barstool Sports
13,Dawson Nobriga,University of North Texas,Football,Barstool Sports
14,Natalie Tyson,East Carolina University,Volleyball,Barstool Sports
15,Bryce Henkel,Boston College,Swimming and Diving,Barstool Sports
16,Maddie Sturgell,Jacksonville University,Lacrosse,Barstool Sports
17,James Nowicki,Monmouth College,Lacrosse,Barstool Sports
18,Paul Grattan,"University of California, Los Angeles",Football,Barstool Sports
19,Brayden O'Neill,University of Alabama in Huntsville,Lacrosse,Barstool Sports
0,Tristan Usher,George Mason University,Lacrosse,Barstool Sports
1,MJ Lucas,University of North Carolina at Asheville,Baseball,Barstool Sports
2,Max Kwitchoff,University of Rhode Island,Soccer,Barstool Sports
3,Landri Hudson,University of Wyoming,Basketball,Barstool Sports
4,Dolan Mahoney,Florida Gulf Coast University,Basketball,Barstool Sports
5,Patrick OâDwyer,Fairleigh Dickinson University,Soccer,Barstool Sports
6,David Christie,University of Louisiana at Lafayette,Baseball,Barstool Sports
7,Sebastian Cannizzo,Fairleigh Dickinson University,Soccer,Barstool Sports
8,Michael Palushaj,University of Detroit Mercy,Soccer,Barstool Sports
9,Will Carlone,Virginia Commonwealth University,Baseball,Barstool Sports
10,Nate Stember,University of Oregon,Golf,Barstool Sports
11,Cameron Hassert,Villanova University,Baseball,Barstool Sports
12,Maycey Vieta,Purdue University,Swimming and Diving,Barstool Sports
13,Brandon Foust,Bucknell University,Track and Field,Barstool Sports
14,Hannah Duguid,University of Colorado Boulder,Soccer,Barstool Sports
15,Emma Wallhoff,University of Southern Mississippi,Basketball,Barstool Sports
16,Lauren Murray,Miami University,Swimming and Diving,Barstool Sports
17,Jake Arnold,Northern Arizona University,Track and Field,Barstool Sports
18,Stephanie Martin,University of WisconsinâEau Claire,Ice Hockey,Barstool Sports
19,Peter Sloan,Fairfield University,Swimming and Diving,Barstool Sports
0,Alex McGill,Indiana University,Soccer,Barstool Sports
1,Andrew Brower,The Ohio State University,Gymnastics,Barstool Sports
2,Dylan German,University of Louisiana at Monroe,Track and Field,Barstool Sports
3,Billy Fallon,University of Pennsylvania,Swimming and Diving,Barstool Sports
4,Parker Rostowsky,University of Southern California,Golf,Barstool Sports
5,Jim Onulak,Rutgers University,Football,Barstool Sports
6,Reid Bourque,McNeese State University,Baseball,Barstool Sports
7,Albert Paniccia,Providence College,Lacrosse,Barstool Sports
8,Jack Fris,Lehigh University,Football,Barstool Sports
9,Megan Davies,University of South Carolina,Tennis,Barstool Sports
10,Derek Ripp,George Washington University,Baseball,Barstool Sports
11,Eli Doyle,Robert Morris University,Lacrosse,Barstool Sports
12,Jalen Chin,North Carolina Agricultural and Technical State University,Cross Country,Barstool Sports
13,Aaron Cashman,University of Iowa,Wrestling,Barstool Sports
14,Joe Rotkis,Morehead State University,Baseball,Barstool Sports
15,Cooper Rust,Utah Valley University,Baseball,Barstool Sports
16,Vince Waters,Butler University,Football,Barstool Sports
17,Taylor Ward,Presbyterian College,Softball,Barstool Sports
18,Carter Link,Southern Methodist University,Football,Barstool Sports
19,Turner Mann,Nicholls State University,Baseball,Barstool Sports
0,Tyler Dupuis,Bryant University,Golf,Barstool Sports
1,Trevor Batastini,St. John's University,Lacrosse,Barstool Sports
2,Jack DeNatale,Boston College,Sailing,Barstool Sports
3,Nyah Biegler,Eastern Illinois University,Soccer,Barstool Sports
4,Tim O'Hearn,Lafayette College,Football,Barstool Sports
5,Dylan Lamb,University of Washington,Baseball,Barstool Sports
6,Nathan Vermaas,North Dakota State University,Baseball,Barstool Sports
7,Cristian Lopez,University of Illinois at Chicago,Baseball,Barstool Sports
8,James Hepp,"University of California, Los Angeles",Baseball,Barstool Sports
9,Thomas Wells,University of Tulsa,Soccer,Barstool Sports
10,Emma Reeves,Santa Clara University,Soccer,Barstool Sports
11,Jaela Zimmerman,Creighton University,Volleyball,Barstool Sports
12,Ryan Vogel,Bradley University,Baseball,Barstool Sports
13,Brett Gregory,Oral Roberts University,Baseball,Barstool Sports
14,Hannah Zemaitis,Pennsylvania State University,Field Hockey,Barstool Sports
15,Cody Dreis,Washington State University,Baseball,Barstool Sports
16,Nick Barcelos,"University of Nevada, Reno",Football,Barstool Sports
17,Josiah Pokopac,Northern Kentucky University,Soccer,Barstool Sports
18,Collin Mocyunas,Marshall University,Soccer,Barstool Sports
19,Max Hunter,Georgetown University,Golf,Barstool Sports
0,Alex Moeller,University of WisconsinâMadison,Football,Barstool Sports
1,Philip McCabe,Santa Clara University,Soccer,Barstool Sports
2,Grant Goodson,Missouri State University,Football,Barstool Sports
3,Justin Brunow,La Salle University,Soccer,Barstool Sports
4,Michael Bonomo,College of the Holy Cross,Lacrosse,Barstool Sports
5,Chris Noble,Samford University,Football,Barstool Sports
6,Sophia LaBanca,University of Denver,Lacrosse,Barstool Sports
7,Nicholas Ferrentino,Saint Joseph's University,Track and Field,Barstool Sports
8,MacGregor Peterson,University of Pennsylvania,Lacrosse,Barstool Sports
9,Nico Fabrizio,Bryant University,Track and Field,Barstool Sports
10,Ryan Kinkead,Boston College,Golf,Barstool Sports
11,Maggie O'Brien,University of Richmond,Lacrosse,Barstool Sports
12,Sarah Lehman,DePaul University,Softball,Barstool Sports
13,Keegan Streett,University of Georgia,Swimming and Diving,Barstool Sports
14,Andrew Zapka,University of Dayton,Baseball,Barstool Sports
15,Bryan Marshall,Winthrop University,Soccer,Barstool Sports
16,Ben Morehead,Davidson College,Golf,Barstool Sports
17,Benny Serrano,Niagara University,Baseball,Barstool Sports
18,Hannah Shrader,University of Detroit Mercy,Lacrosse,Barstool Sports
19,Alyssa Overbeck,Xavier University,Volleyball,Barstool Sports
0,Abe Assad,University of Iowa,Wrestling,Barstool Sports
1,Kerrigan Johnson,Ball State University,Soccer,Barstool Sports
2,Becca Tschetter,Grand Canyon University,Golf,Barstool Sports
3,Ben Erkens,Clemson University,Soccer,Barstool Sports
4,Sarah Bennett,Lafayette College,Lacrosse,Barstool Sports
5,Emma Collins,Eastern Michigan University,Soccer,Barstool Sports
6,Connor Madden,James Madison University,Football,Barstool Sports
7,Katie Flynn,Temple University,Lacrosse,Barstool Sports
8,Natalia Rodriguez,Southern Illinois University Edwardsville,Cross Country,Barstool Sports
9,Ellie Wheatley,Michigan State University,Field Hockey,Barstool Sports
10,Dustyn Schramm,University of Utah,Baseball,Barstool Sports
11,Jenna McHale,University of Delaware,Lacrosse,Barstool Sports
12,Lyndie Lobdell,Pennsylvania State University,Ice Hockey,Barstool Sports
13,Randy Prosperi,College of William & Mary,Baseball,Barstool Sports
14,Ryan Schriber,University of Michigan,Lacrosse,Barstool Sports
15,Haley Tausend,Eastern Michigan University,Soccer,Barstool Sports
16,Dominic Palermo,Wagner College,Cross Country,Barstool Sports
17,Hayes Sutton,Brown University,Football,Barstool Sports
18,Preston Floyd,Winthrop University,Soccer,Barstool Sports
19,Jake Piseno,"University at Albany, SUNY",Lacrosse,Barstool Sports
0,Matt Richardson,University of Utah,Baseball,Barstool Sports
1,Kassidy Betzing,Ohio University,Track and Field,Barstool Sports
2,Truman teDuits,University of WisconsinâMadison,Swimming and Diving,Barstool Sports
3,Jeremy Spezia,Bowling Green State University,Baseball,Barstool Sports
4,Darrien Grant,University of South Florida,Football,Barstool Sports
5,Sophia Holt,Virginia Tech,Lacrosse,Barstool Sports
6,Brad Doliner,University of Kentucky,Soccer,Barstool Sports
7,Nate Snyder,University of Louisiana at Lafayette,Football,Barstool Sports
8,Franki Morrell,Lehigh University,Rowing,Barstool Sports
9,David Fessenden,University of New Hampshire,Ice Hockey,Barstool Sports
10,Marisol Nugent,University of North Carolina at Chapel Hill,Wrestling,Barstool Sports
11,JohnLuca Moschetto,Benedictine University,Baseball,Barstool Sports
12,Marco Bozzo,Northeastern University,Ice Hockey,Barstool Sports
13,Nicholas Jubilee,Villanova University,Swimming and Diving,Barstool Sports
14,Chris Shanahan,Duke University,Track and Field,Barstool Sports
15,Sam Hunt,Vanderbilt University,Baseball,Barstool Sports
16,Taylor Marchetti,James Madison University,Lacrosse,Barstool Sports
17,Odahri Hibberts,Central Connecticut State University,Football,Barstool Sports
18,Tyler Smith,Youngstown State University,Lacrosse,Barstool Sports
19,Francisco Cox,Robert Morris University,Lacrosse,Barstool Sports
0,Phillimon Bedard-Khalid,Presbyterian College,Soccer,Barstool Sports
1,Kelby Drews,University of Maine,Softball,Barstool Sports
2,Sean Quinn,Drexel University,Lacrosse,Barstool Sports
3,Kieran O'Haire,Providence College,Basketball,Barstool Sports
4,Jake Kapers,Valparaiso University,Baseball,Barstool Sports
5,Josh Hood,North Carolina State University,Baseball,Barstool Sports
6,Ryan Murphy,"University of Maryland, College Park",Baseball,Barstool Sports
7,Jordan Chrysostom,Virginia Tech,Tennis,Barstool Sports
8,Jake Reed,University of Delaware,Football,Barstool Sports
9,Fernando Robayo,Fairfield University,Soccer,Barstool Sports
10,Collin Larsh,University of WisconsinâMadison,Football,Barstool Sports
11,Alexis DeMarco,Western Carolina University,Soccer,Barstool Sports
12,Justin Weiss,Lafayette College,Baseball,Barstool Sports
13,Adam Gay,University of New Mexico,Football,Barstool Sports
14,Hunter Woodard,Oklahoma State UniversityâStillwater,Football,Barstool Sports
15,Morgan Day,Oklahoma State UniversityâStillwater,Softball,Barstool Sports
16,Nate Needham,Bowling Green State University,Football,Barstool Sports
17,Luke Nichter,Drexel University,Wrestling,Barstool Sports
18,Amanda Loo,Long Island University,Gymnastics,Barstool Sports
19,Emily Lowe,San Diego State University,Soccer,Barstool Sports
0,Jacob Hasty,Louisiana State University,Baseball,Barstool Sports
1,Holden Christian,Loyola Marymount University,Baseball,Barstool Sports
2,Madeline Atway,The Ohio State University,Tennis,Barstool Sports
3,Kacie Borowicz,University of North Dakota,Basketball,Barstool Sports
4,Nick Iannantone,University of South Carolina Upstate,Baseball,Barstool Sports
5,Will Kahlstorf,University of Georgia,Golf,Barstool Sports
6,Maya Lawliss,"University of California, Berkeley",Lacrosse,Barstool Sports
7,Austin Stewart,Towson University,Lacrosse,Barstool Sports
8,Sydney Corbett,Fairfield University,Soccer,Barstool Sports
9,Carlos Tavera,University of Texas at Arlington,Baseball,Barstool Sports
10,Jake Newman,College of William & Mary,Golf,Barstool Sports
11,Saskia Hernandez,North Carolina State University,Volleyball,Barstool Sports
12,Teagan Canning,"University at Albany, SUNY",Lacrosse,Barstool Sports
13,Lewis Green,Missouri State University,Soccer,Barstool Sports
14,Noah Frederking,University of Evansville,Basketball,Barstool Sports
15,Will Farniok,University of Tulsa,Football,Barstool Sports
16,Nick Huggins,University of Northern Iowa,Golf,Barstool Sports
17,Derick Broche,University of Michigan,Soccer,Barstool Sports
18,Aaron Barber,Virginia Commonwealth University,Baseball,Barstool Sports
19,Josh Doyle,University of Rhode Island,Football,Barstool Sports
0,Sierra Blank,Niagara University,Soccer,Barstool Sports
1,Ashlyn Rasnick-Pope,Louisiana State University,Beach Volleyball,Barstool Sports
2,Tommy Crider,Belmont University,Baseball,Barstool Sports
3,Josh Lundmark,Cornell University,Golf,Barstool Sports
4,Alexis Prater,Youngstown State University,Track and Field,Barstool Sports
5,Skye Kingsley,University of Missouri,Soccer,Barstool Sports
6,Brody Drost,Louisiana State University,Baseball,Barstool Sports
7,Natalie Nevins,Saint Joseph's University,Soccer,Barstool Sports
8,Mya Donnelly,Wagner College,Soccer,Barstool Sports
9,Jordan Miller,University of Delaware,Soccer,Barstool Sports
10,Mackenzie Boyle,Jacksonville University,Lacrosse,Barstool Sports
11,Matt Scannell,Princeton University,Baseball,Barstool Sports
12,Jordan Peyton,Towson University,Baseball,Barstool Sports
13,Jaxson Baker,University of Central Arkansas,Basketball,Barstool Sports
14,Morayo Adenegan,Drexel University,Soccer,Barstool Sports
15,Colby Haines,University of Cincinnati,Baseball,Barstool Sports
16,Jason Kessler,Kenyon College,Football,Barstool Sports
17,Daniel Susac,University of Arizona,Baseball,Barstool Sports
18,Merel Hanssen,Michigan State University,Field Hockey,Barstool Sports
19,Brianna Jablonowski,University of Virginia,Soccer,Barstool Sports
0,Michael Portela,GardnerâWebb University,Baseball,Barstool Sports
1,Kevin Gower,University of Massachusetts Amherst,Baseball,Barstool Sports
2,Megan Blair,Fairfield University,Rowing,Barstool Sports
3,Olivia Heilbronn,Fairfield University,Rowing,Barstool Sports
4,Mayson Conner,University of NebraskaâLincoln,Track and Field,Barstool Sports
5,Tyler Mast,Loyola University Maryland,Tennis,Barstool Sports
6,Maya Zovko,Georgia Southern University,Soccer,Barstool Sports
7,Jay Luikart,Wright State University,Baseball,Barstool Sports
8,Anna Salvucci,Drexel University,Soccer,Barstool Sports
9,Mason Scheidegger,University of South Dakota,Football,Barstool Sports
10,Charlotte Hillary,Northwestern University,Golf,Barstool Sports
11,Mason Williams,University of Hawaii at Manoa,Swimming and Diving,Barstool Sports
12,Max Kouznetsov,Canisius College,Ice Hockey,Barstool Sports
13,Jordan Balog,Marshall University,Cross Country,Barstool Sports
14,Savitoz Chilana,Pennsylvania State University,Fencing,Barstool Sports
15,Jerry Brown,Lindenwood University,Swimming and Diving,Barstool Sports
16,Bryce De Maille,University of Delaware,Football,Barstool Sports
17,Meaghan Tyrrell,Syracuse University,Lacrosse,Barstool Sports
18,Sam Rengert,Iowa State University,Football,Barstool Sports
19,Jessica Kemp,Mississippi State University,Volleyball,Barstool Sports
0,Ryan Archibald,Mercer University,Baseball,Barstool Sports
1,Kyle Bauman,University of Akron,Football,Barstool Sports
2,Ethan Pouncey,University of Florida,Football,Barstool Sports
3,Demarcus Elliott,Indiana University,Football,Barstool Sports
4,Zach Kirby,East Tennessee State University,Baseball,Barstool Sports
5,Payton Rigg,Ohio University,Soccer,Barstool Sports
6,Jake Zilinskas,University of Pittsburgh,Football,Barstool Sports
7,Ryan Sanborn,Stanford University,Football,Barstool Sports
8,Collin Bosley-Smith,Duke University,Baseball,Barstool Sports
9,Brett Baucia,"University of Maryland, Baltimore County",Lacrosse,Barstool Sports
10,Amanda Nord,James Madison University,Tennis,Barstool Sports
11,Thomas McCaffrey,"University of California, Irvine",Baseball,Barstool Sports
12,Harper Moore,University of Kentucky,Cross Country,Barstool Sports
13,Jack Jackson,Arizona State University,Ice Hockey,Barstool Sports
14,Matthew Gravely,Davidson College,Baseball,Barstool Sports
15,Kathryn Parkinson,Towson University,Field Hockey,Barstool Sports
16,Phidarian Mathis,University of Alabama,Football,
17,Christian Harris,University of Alabama,Football,
18,Obinna Eze,Texas Christian University,Football,
19,DeMarvin Leal,Texas A&M University,Football,
0,Cade York,Louisiana State University,Football,
1,Justin Eboigbe,University of Alabama,Football,
2,Agiye Hall,University of Alabama,Football,College Football Edits
3,Kim Smit,Michigan State University,Field Hockey,Barstool Sports
4,Jarrett Pico,Elon University,Baseball,Barstool Sports
5,Samantha Yarbrough,Auburn University,Softball,Barstool Sports
6,Natalie Vargo,Oklahoma State UniversityâStillwater,Equestrian,Barstool Sports
7,Dane Saltarelli,Western Kentucky University,Football,Barstool Sports
8,Jartavius Martin,University of Illinois at UrbanaâChampaign,Football,Barstool Sports
9,Jake Davis,Presbyterian College,Football,Barstool Sports
10,Mikayla Haut,Fairfield University,Volleyball,Barstool Sports
11,Celina Riccardo,Michigan State University,Field Hockey,Barstool Sports
12,Devon Brewer,Cornell University,Football,Barstool Sports
13,Alessio Pirruccio,Texas A&M University,Track and Field,Barstool Sports
14,Ashley Kekeisen,Canisius College,Volleyball,Barstool Sports
15,Seamus Barrett,University of Louisville,Baseball,Barstool Sports
16,Rachel Warrens,George Mason University,Softball,Barstool Sports
17,Jessica Reia,Western Michigan University,Softball,Barstool Sports
18,Nathan Ashley,Southern Methodist University,Soccer,Barstool Sports
19,Camden Gasser,University of Michigan,Baseball,Barstool Sports
0,Hunter Renner,Northwestern University,Football,Barstool Sports
1,Jackson Miller,University of Akron,Baseball,Barstool Sports
2,Joe Svec,University of Cincinnati,Track and Field,Barstool Sports
3,Emily Seymour,Gettysburg College,Lacrosse,Barstool Sports
4,Cam Little,University of Arkansas,Football,Barstool Sports
5,Jakob Brustoski,Texas Tech University,Baseball,Barstool Sports
6,Angie Suaza,Providence College,Soccer,Barstool Sports
7,Henry De Tolla,University of Massachusetts Lowell,Lacrosse,Barstool Sports
8,Alfredo Delgado,Manhattan College,Baseball,Barstool Sports
9,Maddie White,Brigham Young University,Golf,Barstool Sports
10,Aliyah Carter,Kansas State University,Volleyball,Barstool Sports
11,Keaton Jones,Bryant University,Lacrosse,Barstool Sports
12,Nic Paschall,Cornell University,Football,Barstool Sports
13,Tori O'Brien,Ohio University,Softball,Barstool Sports
14,Caleb Scheffler,Samford University,Track and Field,Barstool Sports
15,Hunter Rodrigues,"University of California, Davis",Football,Barstool Sports
16,Nick Lindelow,Robert Morris University,Football,Barstool Sports
17,Eli Miller,University of Iowa,Football,Barstool Sports
18,Grant Jordan,Yale University,Football,Barstool Sports
19,Joshua Moreira,Jacksonville University,Soccer,Barstool Sports
0,Melissa Cartis,New Mexico State University,Tennis,Barstool Sports
1,Graham Hill,Georgetown University,Football,Barstool Sports
2,Jake Jarvis,Purdue University,Baseball,Barstool Sports
3,Najee Taylor,Loyola University Maryland,Lacrosse,Barstool Sports
4,Brenna Springer,University of Akron,Soccer,Barstool Sports
5,Mason Stephens,Youngstown State University,Track and Field,Barstool Sports
6,Micheal Mason,Wofford College,Football,Barstool Sports
7,London Miller,Utah Valley University,Soccer,Barstool Sports
8,Cole Stromboe,University of Louisiana at Monroe,Baseball,Barstool Sports
9,Noah Bolt,Indiana State University,Track and Field,Barstool Sports
10,Noah Melick,University of WisconsinâMadison,Soccer,Barstool Sports
11,Luke Hammond,Arizona State University,Baseball,Barstool Sports
12,Tyler Hahn,Bryant University,Golf,Barstool Sports
13,Raiqwon OâNeal,Rutgers University,Football,Barstool Sports
14,Danny Brady,Wagner College,Lacrosse,Barstool Sports
15,Zach Patterson,Washington University in St. Louis,Football,Barstool Sports
16,Braxton Todd,Bowling Green State University,Football,Barstool Sports
17,Josh Yoder,Indiana University â Purdue University Indianapolis,Golf,Barstool Sports
18,Carter Woody,Valparaiso University,Football,Barstool Sports
19,Tyler Ruhl,Kansas State University,Baseball,Barstool Sports
0,Anthony Harrison,Kennesaw State University,Track and Field,Barstool Sports
1,Amanda Morse,"University of California, Berkeley",Lacrosse,Barstool Sports
2,Ethan Choi,North Carolina State University,Golf,Barstool Sports
3,Danny Munroe,Coppin State University,Baseball,Barstool Sports
4,Samuel Jyawook,"University of Maryland, Baltimore County",Swimming and Diving,Barstool Sports
5,Aleksa Matic,University of North Alabama,Basketball,Barstool Sports
6,Scott Walter,University of Akron,Basketball,Barstool Sports
7,Luke Loecher,Oregon State University,Football,Barstool Sports
8,Blake Bennett,University of Massachusetts Amherst,Baseball,Barstool Sports
9,Harrison Clifton,University of Richmond,Baseball,Barstool Sports
10,Anthony Cimino,St. Bonaventure University,Lacrosse,Barstool Sports
11,Gabriella Raia,Boston College,Track and Field,Barstool Sports
12,Teddy Hutman,"University of California, Santa Barbara",Soccer,Barstool Sports
13,Elizabeth Blake,Canisius College,Swimming and Diving,Barstool Sports
14,Zac Granger,University of Akron,Baseball,Barstool Sports
15,Matt Orlando,"University of Maryland, College Park",Baseball,Barstool Sports
16,Ryan Sullivan,Merrimack College,Cross Country,Barstool Sports
17,Will Ahrens,University of Richmond,Football,Barstool Sports
18,Ethan Solat,State University of New York at Brockport,Ice Hockey,Barstool Sports
19,Luke Madden,University of New Hampshire,Soccer,Barstool Sports
0,Brooke Baker,"University of California, Berkeley",Lacrosse,Barstool Sports
1,Emily Banitt,Loyola University Chicago,Volleyball,Barstool Sports
2,Kyndal Grace Patterson,University of Evansville,Volleyball,Barstool Sports
3,Dave Russell III,Jacksonville State University,Football,Barstool Sports
4,Annie Price,Princeton University,Lacrosse,Barstool Sports
5,Reese Renz,University of Colorado Boulder,Track and Field,Barstool Sports
6,Barnaby Brandon,Bryant University,Soccer,Barstool Sports
7,Caroline Smith,Wake Forest University,Golf,Barstool Sports
8,Emily Keck,University of North Carolina at Charlotte,Soccer,Barstool Sports
9,Colin Roberts,Ohio University,Wrestling,Barstool Sports
10,Frank Houser,Bucknell University,Wrestling,Barstool Sports
11,William Gillingham,"University of California, Santa Barbara",Soccer,Barstool Sports
12,Dillon Gearhart,Illinois State University,Football,Barstool Sports
13,Seth Hanson,United States Naval Academy,Track and Field,Barstool Sports
14,Madison Seigworth,Butler University,Softball,Barstool Sports
15,Bryant Greene,Appalachian State University,Basketball,Barstool Sports
16,Izzy Schauer,Belmont University,Volleyball,Barstool Sports
17,Sam Santiago-Lloyd,Winona State University,Football,Barstool Sports
18,Mia Krusinski,Florida Gulf Coast University,Soccer,Barstool Sports
19,Evan Miller,University of North Carolina at Wilmington,Basketball,Barstool Sports
0,Broc Bidwell,Campbell University,Basketball,Barstool Sports
1,Brett Canis,Texas Tech University,Football,Barstool Sports
2,Griffin Yaklich,University of Illinois at Chicago,Basketball,Barstool Sports
3,Meghan McLachlan,Lafayette College,Lacrosse,Barstool Sports
4,Trent Grainger,St. Bonaventure University,Lacrosse,Barstool Sports
5,Langston Powell,University of Louisiana at Monroe,Basketball,Barstool Sports
6,Geli Cyr,Arizona State University,Volleyball,Barstool Sports
7,Evan Matlick,Bluefield State College,Golf,Barstool Sports
8,Logan Bonner,Utah State University,Football,Barstool Sports
9,Alex Searing,Loyola University Maryland,Soccer,Barstool Sports
10,Luke Jackson,Southern University,Football,Barstool Sports
11,Keith Williams,Colorado State University,Football,Barstool Sports
12,Brendan Favre,DePaul University,Basketball,Barstool Sports
13,Trevor Anderson,Valparaiso University,Basketball,Barstool Sports
14,Broox Bolden,University of New Hampshire,Football,Barstool Sports
15,Blake Ashley,Bridgewater College,Football,Barstool Sports
16,Carson Ford,Tennessee Wesleyan University,Baseball,Barstool Sports
17,Jonathan Ferguson,Louisiana State University,Football,Barstool Sports
18,Erin Carpenter,Western Carolina University,Volleyball,Barstool Sports
19,Sydney Senerchia,Saint Peter's University,Softball,Barstool Sports
0,Alexis Arredondo,Jackson State University,Softball,Barstool Sports
1,Jacob Kaiser,University of WisconsinâMilwaukee,Baseball,Barstool Sports
2,Aleah Yaizzo,State University of New York at Oswego,Softball,Barstool Sports
3,Jack Corcoran,University of Maine,Football,Barstool Sports
4,Kenlee Newcom,Western Kentucky University,Soccer,Barstool Sports
5,Danny Cantor,Clarkson University,Baseball,Barstool Sports
6,Trent Tracy,California Polytechnic State University,Wrestling,Barstool Sports
7,Moira Kelley,University of Kansas,Soccer,Barstool Sports
8,Jack Belskis,Butler University,Football,Barstool Sports
9,Dylan Paine,Washington State University,Football,Barstool Sports
10,Conor McGrath,Temple University,Golf,Barstool Sports
11,Paris Colgain,Johns Hopkins University,Lacrosse,Barstool Sports
12,Noah de la Durantaye,Princeton University,Ice Hockey,Barstool Sports
13,Megan Pierro,University of South Florida,Softball,Barstool Sports
14,Lauren Cheetham,University of Michigan,Swimming and Diving,Barstool Sports
15,J.J. Gresco,"University of Nevada, Las Vegas",Golf,Barstool Sports
16,Amber Weedon,West Chester University,Lacrosse,Barstool Sports
17,Matheu Nelson,Florida State University,Baseball,Barstool Sports
18,Mary Wolff,Bowling Green State University,Swimming and Diving,Barstool Sports
19,Jack Borden,Lafayette College,Soccer,Barstool Sports
0,Julian Cisneros,Loyola University Chicago,Soccer,Barstool Sports
1,Ryan Teschko,Old Dominion University,Baseball,Barstool Sports
2,Cameron Buhl,St. Lawrence University,Ice Hockey,Barstool Sports
3,Geron Hargon,Rice University,Football,Barstool Sports
4,Dylan Matela,Georgia State University,Baseball,Barstool Sports
5,Jasyn Andrews,University of Rhode Island,Football,Barstool Sports
6,Dallas Holliday,Boise State University,Football,Barstool Sports
7,Tommy Cartnick,University of Rhode Island,Baseball,Barstool Sports
8,Carter Selzer,University of Michigan,Football,Barstool Sports
9,Josh Whyle,University of Cincinnati,Football,Barstool Sports
10,Jake Edinger,University of Denver,Lacrosse,Barstool Sports
11,Jeremiah Pittman,University of Iowa,Football,Barstool Sports
12,Kristen Hobbs,Indiana State University,Golf,Barstool Sports
13,Julia Csernyik,Youngstown State University,Soccer,Barstool Sports
14,Johnny Pascuzzi,University of Iowa,Football,Barstool Sports
15,Casey Waller,Drexel University,Lacrosse,Barstool Sports
16,Nick Isaac,The Ohio State University,Soccer,Barstool Sports
17,Sydney Dawson,Clemson University,Soccer,Barstool Sports
18,Amy Landry,University of Connecticut,Ice Hockey,Barstool Sports
19,Jake Lange,University of Southern Mississippi,Football,Barstool Sports
0,Christa Jay Moore,College of the Holy Cross,Track and Field,Barstool Sports
1,Mike Burke,Sacred Heart University,Football,Barstool Sports
2,Sam Jones,Winthrop University,Soccer,Barstool Sports
3,Mark Roby,University of South Carolina,Soccer,Barstool Sports
4,Cole Mashburn,University of Memphis,Football,Barstool Sports
5,Angela Giampolo,Villanova University,Softball,Barstool Sports
6,Brooke Giacin,Baylor University,Equestrian,Barstool Sports
7,Katie Fugit,California Baptist University,Water Polo,Barstool Sports
8,Kara Mills,University of North Carolina at Wilmington,Soccer,Barstool Sports
9,Kelly Strickland,Georgia State University,Golf,Barstool Sports
10,Sam Fagan,Arkansas State University,Baseball,Barstool Sports
11,Will Lancaster,University of South Carolina Upstate,Baseball,Barstool Sports
12,Max Williams,DePaul University,Basketball,Barstool Sports
13,Tyler Venables,Clemson University,Football,Barstool Sports
14,Josh Fong,University of Virginia,Swimming and Diving,Barstool Sports
15,Sophie Weeter,Cornell University,Soccer,Barstool Sports
16,Austin Flaute,University of Notre Dame,Swimming and Diving,Barstool Sports
17,Matt Coghlin,Michigan State University,Football,Barstool Sports
18,Tyler Johnson,Coastal Carolina University,Baseball,Barstool Sports
19,Michael McGovern,Brown University,Football,Barstool Sports
0,Chandler Carter,South Dakota State University,Football,Barstool Sports
1,Julia Bice,Central Michigan University,Golf,Barstool Sports
2,Colin Adams,Long Island University,Baseball,Barstool Sports
3,Marcus Cline,University of WisconsinâMilwaukee,Baseball,Barstool Sports
4,Dante Fantauzzi,Sacred Heart University,Ice Hockey,Barstool Sports
5,RJ Macnamara,University of Delaware,Football,Barstool Sports
6,Owen Hartman,Johns Hopkins University,Football,Barstool Sports
7,Nolan Bowser,Saint Louis University,Baseball,Barstool Sports
8,Morgan Mesaros,James Madison University,Softball,Barstool Sports
9,Brian Gin,Cornell College,Soccer,Barstool Sports
10,Jack Myers,Butler University,Baseball,Barstool Sports
11,Evan Lovell,University of Rhode Island,Football,Barstool Sports
12,Clayton Rahaman,Merrimack College,Track and Field,Barstool Sports
