Name,Sponsors,University,Sport,PageNumber
Gable Steveson,Barstool Sports,University of Minnesota,Wrestling,4
Colby Jones,Barstool Sports,Xavier University,Basketball,4
Brennan Canada,Barstool Sports,University of Kentucky,Basketball,4
Spencer Webb,Barstool Sports,University of Oregon,Football,4
Jasmine Sievers,Barstool Sports,University of Oregon,Softball,4
Alex O'Connell,Barstool Sports,Creighton University,Basketball,4
Tae-Vheon Alcorn,Barstool Sports,University of Kansas,Track and Field,4
Canon Claycomb,Barstool Sports,University of Alabama,Golf,4
Bryce Frederick,Barstool Sports,Towson University,Baseball,4
Alana Walker,Barstool Sports,Northwestern University,Volleyball,4
Sydney Parrish,Barstool Sports,University of Oregon,Basketball,4
Christian Geddes,Barstool Sports,Iona College,Soccer,4
Madison Jurgens,Barstool Sports,University of South Dakota,Volleyball,4
Drew Durst,Barstool Sports,Stephen F. Austin State University,Baseball,4
Drew Durst,Rhoback,Stephen F. Austin State University,Baseball,4
Will Reichard,Barstool Sports,University of Alabama,Football,4
Skylar Smith,Barstool Sports,Santa Clara University,Soccer,4
Segun Afolabi,Barstool Sports,University of South Florida,Soccer,4
Benjamin Schwartz,Barstool Sports,Cornell University,Golf,4
Jacolbe Cowan,Barstool Sports,The Ohio State University,Football,4
Matt Torres,Barstool Sports,Fairfield University,Swimming and Diving,4
McKenzie Bump,Barstool Sports,The Ohio State University,Softball,5
Omar Manning,PSD Underwear,University of Nebraska-Lincoln,Football,5
Dakereon Joyner,PSD Underwear,University of South Carolina,Football,5
Christopher Allen,PSD Underwear,University of Alabama,Football,5
Christopher Allen,Yoke Gaming,University of Alabama,Football,5
CJ Dippre,Barstool Sports,"University of Maryland, College Park",Football,5
Fabiola Declet,Barstool Sports,Florida International University,Cross Country,5
Madison Harms,Barstool Sports,University of South Dakota,Volleyball,5
Matthew Cleveland,Yoke Gaming,Florida State University,Basketball,5
Javion Cohen,Barstool Sports,University of Alabama,Football,5
Javion Cohen,Yoke Gaming,University of Alabama,Football,5
LaTrell Bumphus,Yoke Gaming,University of Tennessee,Football,5
