Name,Sponsors,University,Sport,PageNumber
Torrey Patton,Barstool Sports,Cleveland State University,Basketball,51
Cregg Scherrer,Barstool Sports,"University at Albany, SUNY",Baseball,51
Sydney Seymour,Barstool Sports,University of Tennessee,Cross Country,51
Hannah Barsky,Barstool Sports,Villanova University,Field Hockey,51
Chris Koerwitz,Barstool Sports,Southern Illinois University Carbondale,Football,51
Maeve Riordan,Barstool Sports,University of Illinois at Chicago,Soccer,51
Makena Silber,Barstool Sports,University of Illinois at Urbana-Champaign,Soccer,51
Nailah Jones,Barstool Sports,Chicago State University,Volleyball,51
Jamie Peterson,Barstool Sports,University of Dayton,Volleyball,52
Kathryn McNeil,Barstool Sports,Bryant University,Soccer,52
Tessa Van Winkle,Barstool Sports,"University of California, Los Angeles",Beach Volleyball,52
Mike Baumgarten,Barstool Sports,Saint Joseph's University,Track and Field,52
Chase Tarr,Barstool Sports,"University of California, Santa Barbara",Track and Field,52
Katie Krotee,Barstool Sports,"University of Maryland, College Park",Soccer,52
Thomas Bruchu,Barstool Sports,North Dakota State University,Baseball,52
Madison Murtagh,Barstool Sports,Pennsylvania State University,Swimming and Diving,52
Cory Shinohara,Barstool Sports,University of North Carolina at Chapel Hill,Gymnastics,52
Cam Morgan,Barstool Sports,Monmouth University,Soccer,52
Mike Leone,Barstool Sports,Rice University,Football,52
Jalen Hooper,Barstool Sports,Northern Arizona University,Football,52
Jamie Tsao,Barstool Sports,Bucknell University,Lacrosse,52
Garrett Murray,Barstool Sports,Florida State University,Football,52
Cael Kohan,Barstool Sports,Bryant University,Golf,52
Lucas Herrmann,Barstool Sports,University of New Hampshire,Ice Hockey,52
Carrie McIntire,Barstool Sports,Wake Forest University,Soccer,52
Jaheem Joseph,Barstool Sports,Northwestern University,Football,52
Jacob Castro,Barstool Sports,West Virginia University,Soccer,52
Libby Bowman,Barstool Sports,Radford University,Lacrosse,52
Julianna Tornetta,Barstool Sports,"University of Maryland, College Park",Field Hockey,53
Jake Porter,Barstool Sports,"University of California, Berkeley",Track and Field,53
Sabian Sasser,Barstool Sports,Florida International University,Beach Volleyball,53
Braxton Watts,Barstool Sports,University of Utah,Golf,53
Dylan Heine,Barstool Sports,Rider University,Baseball,53
Tanner Vescio,Barstool Sports,Northern Michigan University,Ice Hockey,53
Walt McGrory,Barstool Sports,University of Wisconsin-Madison,Basketball,53
Justin DeGraaf,Barstool Sports,"University of California, San Diego",Basketball,53
Liz Gialanella,Barstool Sports,University of New Orleans,Beach Volleyball,53
Michael Hayes,Barstool Sports,Georgia State University,Football,53
Mia Rabinowitz,Barstool Sports,Louisiana State University,Tennis,53
Stephanie Currie,Barstool Sports,University of Toledo,Soccer,53
Emma Linscott,Barstool Sports,University of Minnesota,Swimming and Diving,53
Abrielle Bross,Barstool Sports,"University of California, Santa Barbara",Volleyball,53
Kyle Syvarth,Barstool Sports,Charleston Southern University,Football,53
Elias Cole,Barstool Sports,Pennsylvania State University,Fencing,53
Davis Feldman,Barstool Sports,Eastern Michigan University,Baseball,53
Evan Manivong,Barstool Sports,University of Illinois at Urbana-Champaign,Gymnastics,53
Uche Eke,Barstool Sports,University of Michigan,Gymnastics,53
Thomas Schultz,Barstool Sports,University of Delaware,Football,53
AJ Raya,Barstool Sports,California Baptist University,Wrestling,54
Anna Clephane,Barstool Sports,Ball State University,Basketball,54
Jacob Likes,Barstool Sports,University of Memphis,Football,54
Patrick Nooonan,Barstool Sports,University of Virginia,Wrestling,54
Peyton McCarthy,Barstool Sports,Valparaiso University,Volleyball,54
Kolie Allen,Barstool Sports,The Ohio State University,Tennis,54
Rachel Panther,Barstool Sports,Drake University,Soccer,54
Preston Jelen,Barstool Sports,University of Minnesota,Football,54
Colton Madeira,Barstool Sports,Providence College,Soccer,54
Mary Iakopo,Barstool Sports,University of Texas at Austin,Softball,54
Connor Laux,Barstool Sports,New Mexico State University,Baseball,54
Marty Larkin,Barstool Sports,Michigan State University,Wrestling,54
Brock Higdon,Barstool Sports,University of South Alabama,Football,54
Audrie LaValley,Barstool Sports,University of Arkansas,Softball,54
Zeke Rankin,Barstool Sports,Middle Tennessee State University,Football,54
Grace Reinold,Barstool Sports,Sacred Heart University,Lacrosse,54
Kailin Newsome,Barstool Sports,Wichita State University,Volleyball,54
Elena Wagoner,Barstool Sports,University of Toledo,Volleyball,54
Reece MacRae,Barstool Sports,Oregon State University,Baseball,54
Keegan Smith,Barstool Sports,Central Michigan University,Football,54
Adam Neff,Barstool Sports,Southern Methodist University,Tennis,55
Claire McElhenny,Barstool Sports,Sacred Heart University,Lacrosse,55
Hayden Ellinger,Barstool Sports,Purdue University,Football,55
Tim Weaver,Barstool Sports,Indiana University,Football,55
Hayden Hatcher,Barstool Sports,University of Kansas,Football,55
CJ Schrimpf,Barstool Sports,Coastal Carolina University,Football,55
Dante Elliot,Barstool Sports,Mount St. Mary's University,Track and Field,55
Alexander Hiltbrand,Barstool Sports,Canisius College,Swimming and Diving,55
Hayden Clem,Barstool Sports,University of Florida,Football,55
Chloe Willard,Barstool Sports,University of Colorado Boulder,Lacrosse,55
Brian Keyes,Barstool Sports,University of Illinois at Urbana-Champaign,Track and Field,55
Shannon Gregory,Barstool Sports,Eastern Michigan University,Gymnastics,55
Kody Stattman,Barstool Sports,University of Virginia,Basketball,55
Jack McManus,Barstool Sports,Clemson University,Cross Country,55
Hendrix Johnson,Barstool Sports,Northern Arizona University,Football,55
Nick Murray,Barstool Sports,University of Cincinnati,Baseball,55
Tate Hall,Barstool Sports,Loyola University Chicago,Basketball,55
Madison Sleiman,Barstool Sports,Stony Brook University,Soccer,55
Jake Northrop,Barstool Sports,Villanova University,Football,55
Jackie Davis,Barstool Sports,Long Island University,Equestrian,55
Aaron Staehely,Barstool Sports,Abilene Christian University,Baseball,56
Tori Bates,Barstool Sports,University of Florida,Lacrosse,56
Choice Mostellar,Barstool Sports,Saint Joseph's University,Lacrosse,56
Carson Shrader,Barstool Sports,Indiana University - Purdue University Indianapolis,Soccer,56
Angela Saric,Barstool Sports,St. John's University,Softball,56
William St. Marseille,Barstool Sports,California Baptist University,Baseball,56
Nichole Smith,Barstool Sports,Temple University,Gymnastics,56
Curtis McGhee III,Barstool Sports,Brown University,Football,56
Luke Lentin,Barstool Sports,The Ohio State University,Volleyball,56
Ryan Zimmerman,Barstool Sports,American University,Wrestling,56
Trevor Pruitt,Barstool Sports,University of Texas at Arlington,Baseball,56
Corey Luciano,Barstool Sports,University of Washington,Football,56
Caden Bonoffski,Barstool Sports,Davidson College,Football,56
William Racely,Barstool Sports,Eastern Michigan University,Football,56
Megan Albamonti,Barstool Sports,University of Delaware,Track and Field,56
Annie Stritzel,Barstool Sports,Harvard University,Basketball,56
Grant Walters,Barstool Sports,Stephen F. Austin State University,Baseball,56
Jake Lynch,Barstool Sports,Texas State University,Football,56
Connor Drake,Barstool Sports,Duke University,Lacrosse,56
Miles Huff,Barstool Sports,Western Kentucky University,Cross Country,56
Will Nicholson,Barstool Sports,Bradley University,Soccer,57
Dom Popa,Barstool Sports,University of Pittsburgh,Baseball,57
Tim McGuire,Barstool Sports,Sacred Heart University,Baseball,57
Spencer Meier,Barstool Sports,St. Cloud State University,Ice Hockey,57
Amanda Rice,Barstool Sports,Villanova University,Water Polo,57
Mya Fregoli,Barstool Sports,Michigan State University,Soccer,57
Everhett Hazelwood,Barstool Sports,University of Kansas,Baseball,57
Meghan Rodino,Barstool Sports,Manhattan College,Lacrosse,57
Brody Mack,Barstool Sports,College of William & Mary,Baseball,57
Brendan Bordner,Barstool Sports,Rutgers University,Football,57
Jack Richards,Barstool Sports,Merrimack College,Lacrosse,57
Rileigh Kuhns,Barstool Sports,University of Missouri-Kansas City,Soccer,57
Nikki Perlwitz,Barstool Sports,Bradley University,Tennis,57
Macy Lotze,Barstool Sports,Ohio University,Field Hockey,57
Nolan Clegg,Barstool Sports,The Ohio State University,Baseball,57
Emily Sulik,Barstool Sports,Siena College,Swimming and Diving,57
Megan Furtney,Barstool Sports,Duke University,Golf,57
Matt Vernon,Barstool Sports,Colorado College,Ice Hockey,57
Ellie McIntyre,Barstool Sports,Boston University,Field Hockey,57
Bella Runyan,Barstool Sports,Villanova University,Basketball,57
Emily Reid,Barstool Sports,Sacred Heart University,Lacrosse,58
Alexis Hardison,Barstool Sports,Appalachian State University,Volleyball,58
Tommy Kent,Barstool Sports,High Point University,Baseball,58
Kouri Peace,Barstool Sports,University of Florida,Soccer,58
Jayson Hoopes,Barstool Sports,Rutgers University,Baseball,58
Christian Kraus,Barstool Sports,University of South Carolina,Soccer,58
Diego Trevino,Barstool Sports,University of Oklahoma,Track and Field,58
Shaye Fitzpatrick,Barstool Sports,Duke University,Lacrosse,58
Payton Fox,Barstool Sports,Saint Mary's College of California,Cross Country,58
Coleman Robinson,Barstool Sports,Houston Baptist University,Football,58
McKenzie Parker,Barstool Sports,University of Texas at Austin,Softball,58
Drew Parrish,Barstool Sports,Valparaiso University,Football,58
Maddi Cuchran,Barstool Sports,University of Michigan,Volleyball,58
Colin Casey,Barstool Sports,Jacksonville State University,Baseball,58
Abi Hugh,Barstool Sports,Marshall University,Soccer,58
Mason Edwards,Barstool Sports,"University of Maryland, Baltimore County",Lacrosse,58
Sammy Tortorella,Barstool Sports,University of Akron,Baseball,58
Marco Napolitano,Barstool Sports,University of Notre Dame,Lacrosse,58
Damon Hsu,Barstool Sports,Lehigh University,Lacrosse,58
Trevor Harris,Barstool Sports,Lehigh University,Football,58
Robert Wooten,Barstool Sports,Virginia Tech,Football,59
Nick Bearup,Barstool Sports,Boston College,Football,59
Jess Ciarrocchi,Barstool Sports,Pennsylvania State University,Ice Hockey,59
Freya Collier,Barstool Sports,University of North Alabama,Volleyball,59
Jillian Gleason,Barstool Sports,University of South Carolina,Beach Volleyball,59
Hannah Barber,Barstool Sports,University of Alabama,Basketball,59
Caroline Dye,Barstool Sports,University of Nebraska Omaha,Swimming and Diving,59
Chloe Netzel,Barstool Sports,Xavier University,Soccer,59
Jack Rohan,Barstool Sports,University of Notre Dame,Fencing,59
Jack Turner,Barstool Sports,Colgate University,Lacrosse,59
Davia Rossi,Barstool Sports,Binghamton University,Soccer,59
Kallie White,Barstool Sports,Indiana University,Water Polo,59
Lindsay Hubbard,Barstool Sports,Seattle University,Soccer,59
Brendan O'Donnell,Barstool Sports,University of Connecticut,Baseball,59
Nick Masters,Barstool Sports,Princeton University,Wrestling,59
Luke Helton,Barstool Sports,Morehead State University,Baseball,59
Maddie Marchiando,Barstool Sports,University of North Carolina at Charlotte,Softball,59
Mikayla VanHorn,Barstool Sports,Sacred Heart University,Field Hockey,59
Connor Cavanagh,Barstool Sports,United States Military Academy,Gymnastics,59
Molly Masciantonio,Barstool Sports,La Salle University,Basketball,59
Brianna Falco,Barstool Sports,Monmouth University,Lacrosse,60
Troy McKnight,Barstool Sports,University of Arkansas at Little Rock,Track and Field,60
Grace Wehland,Barstool Sports,University of Cincinnati,Lacrosse,60
Allie Berk,Barstool Sports,University of Alabama,Soccer,60
Ken Turner,Barstool Sports,University of Hartford,Baseball,60
Riley Shaak,Barstool Sports,North Carolina State University,Volleyball,60
Arielle DeSmet,Barstool Sports,Syracuse University,Ice Hockey,60
Maddy Balter,Barstool Sports,Northwestern University,Lacrosse,60
Omari Thomas,Barstool Sports,University of Tennessee,Football,60
Trace Alphin,Barstool Sports,Wake Forest University,Soccer,60
Ainslie McLaughlin,Barstool Sports,Cleveland State University,Volleyball,60
Jamal Glenn,Barstool Sports,United States Naval Academy,Football,60
Patrick Schulte,Barstool Sports,Saint Louis University,Soccer,60
Paul Kokol,Barstool Sports,Saint Joseph's University,Baseball,60
Jaxson Watermann,Barstool Sports,University of North Carolina at Charlotte,Soccer,60
Lily Provenzano,Barstool Sports,University of South Dakota,Cross Country,60
Alex Vogelsong,Barstool Sports,Auburn University,Golf,60
Parker Landwehr,Barstool Sports,Boston College,Baseball,60
R.J. Moten,Barstool Sports,University of Michigan,Football,60
Jacob Ranker,Barstool Sports,Miami University,Cross Country,60
Nicole Imbrogno,Barstool Sports,Long Island University,Cross Country,61
Logan Hugo,Barstool Sports,Eastern Michigan University,Baseball,61
Joey Swanson,Barstool Sports,University of Dayton,Football,61
Andrew Lapin,Barstool Sports,Towson University,Swimming and Diving,61
James Mitchell,Barstool Sports,Colorado State University,Football,61
Kaleigh Donnelly,Barstool Sports,Boston University,Ice Hockey,61
Hugh McPherson,Barstool Sports,Texas Christian University,Swimming and Diving,61
Chris Oladokun,Barstool Sports,South Dakota State University,Football,61
Tyler Feldkamp,Barstool Sports,South Dakota State University,Football,61
Olivia Zettervall,Barstool Sports,The Ohio State University,Field Hockey,61
Nora Campo,Barstool Sports,Georgetown University,Softball,61
Cooper Darling,Barstool Sports,Oregon State University,Football,61
Olivia Dey,Barstool Sports,"University of California, Berkeley",Lacrosse,61
Jack Selati,Barstool Sports,Colgate University,Tennis,61
Brooke Wilson,Barstool Sports,University of Tennessee,Soccer,61
Lucy Green,Barstool Sports,University of Mississippi,Soccer,61
Connor Shamblin,Barstool Sports,University of Memphis,Baseball,61
Bram Walden,Barstool Sports,University of Oregon,Football,61
Parker League,Barstool Sports,University of South Carolina,Soccer,61
Paul Juda,Barstool Sports,University of Michigan,Gymnastics,61
Trent Bryde,Barstool Sports,University of Georgia,Tennis,62
Joe Lampe,Barstool Sports,Arizona State University,Baseball,62
Sammy Diaz,Barstool Sports,University of Iowa,Softball,62
Lindsay Rongo,Barstool Sports,Stony Brook University,Lacrosse,62
Noah Soles,Barstool Sports,North Carolina State University,Baseball,62
Mackenzie Martin,Barstool Sports,Tulane University,Volleyball,62
Derek Thompson,Barstool Sports,University of New Hampshire,Baseball,62
Samuel Gomez,Barstool Sports,"California State University, Fullerton",Baseball,62
Miller Karrh,Barstool Sports,Samford University,Football,62
Haylei Archer,Barstool Sports,"University of California, Berkeley",Softball,62
Blake Sutton,Barstool Sports,High Point University,Baseball,62
John Cannon,Barstool Sports,University of South Florida,Football,62
Sean McLeod,Barstool Sports,"California State University, Long Beach",Baseball,62
Mike Kaufman,Barstool Sports,Western Illinois University,Football,62
Zane Freeman,Barstool Sports,University of Cincinnati,Swimming and Diving,62
Ethan Coughlin,Barstool Sports,Canisius College,Lacrosse,62
Dave Howarth,Barstool Sports,Northeastern University,Baseball,62
Ty OâJanovac,Barstool Sports,Western Illinois University,Football,62
Hailey Meier,Barstool Sports,University of Connecticut,Lacrosse,62
Parsa Raissi,Barstool Sports,Bryant University,Tennis,62
J.D. Duplain,Barstool Sports,Michigan State University,Football,63
Johnny McCoy,Barstool Sports,University of Delaware,Basketball,63
Sarah Most,Barstool Sports,University of Delaware,Lacrosse,63
Parker Eichenberger,Barstool Sports,University of Houston,Football,63
Jordan Petersen,Barstool Sports,Radford University,Lacrosse,63
Jacob Perez-Eli,Barstool Sports,Rider University,Wrestling,63
Justin Sierra,Barstool Sports,Fairleigh Dickinson University,Baseball,63
Jack Randle,Barstool Sports,Sam Houston State University,Golf,63
Tate Goodyear,Barstool Sports,Yale University,Football,63
James Turner,Barstool Sports,University of Louisville,Football,63
Jack Hatten,Barstool Sports,University of Idaho,Basketball,63
Cade McDonald,Barstool Sports,Michigan State University,Football,63
Joe Petrakis,Barstool Sports,Western Carolina University,Basketball,63
Luke Schwar,Barstool Sports,Towson University,Swimming and Diving,63
Connor McCool,Barstool Sports,University of Illinois at Urbana-Champaign,Lacrosse,63
Kinley Zink,Barstool Sports,University of Central Florida,Rowing,63
Caroline Kelly,Barstool Sports,Boston University,Field Hockey,63
Tyler Clegg,Barstool Sports,James Madison University,Soccer,63
Ben Hines,Barstool Sports,University of Washington,Football,63
Carolina Sculti,Barstool Sports,Stanford University,Swimming and Diving,63
Wyatt George,Barstool Sports,Babson College,Ice Hockey,64
Maura Singer,Barstool Sports,University of Colorado Boulder,Basketball,64
Ryan Brown,Barstool Sports,Oregon State University,Baseball,64
JD Wagner,Barstool Sports,United States Naval Academy,Soccer,64
Maggie Ryan,Barstool Sports,Bryant University,Volleyball,64
Brenden Katz,Barstool Sports,Fairleigh Dickinson University,Baseball,64
Leah Baker,Barstool Sports,The Ohio State University,Swimming and Diving,64
Spencer Harbert,Barstool Sports,Ohio University,Baseball,64
Burke Webb,Barstool Sports,Monmouth University,Lacrosse,64
Jenna Zunic,Barstool Sports,The Ohio State University,Field Hockey,64
Brenden Tuttle,Barstool Sports,Bucknell University,Baseball,64
Keegan McHugh,Barstool Sports,Dartmouth College,Football,64
Mark Lemke,Barstool Sports,University of Illinois at Chicago,Cross Country,64
Colin Duignan,Barstool Sports,University of Virginia,Cross Country,64
A.J. Frakes,Barstool Sports,Fordham University,Swimming and Diving,64
Symone Ryans,Barstool Sports,Bucknell University,Lacrosse,64
Kent Vines,Barstool Sports,Monmouth University,Football,64
Connor Smith,Barstool Sports,Davidson College,Soccer,64
Taz Sherman,Barstool Sports,West Virginia University,Basketball,64
Drew Hailey,Barstool Sports,Merrimack College,Lacrosse,64
Maddie Fowler,Barstool Sports,Drexel University,Lacrosse,65
Carolyn Barksdale,Barstool Sports,University of Tennessee,Cross Country,65
Joseph Laster,Barstool Sports,Duke University,Track and Field,65
Austin Stotts,Barstool Sports,Iowa State University,Wrestling,65
Dutch Furlong,Barstool Sports,Bucknell University,Lacrosse,65
Zachary Carter,Barstool Sports,University of Florida,Football,65
Joshua McAllister,Barstool Sports,University of Georgia,Baseball,65
Amber Liston,Barstool Sports,Campbell University,Soccer,65
Michael O'Clair,Barstool Sports,University of Maine,Track and Field,65
Finn Reynolds,Barstool Sports,University of Mississippi,Tennis,65
Mikayla Capelle,Barstool Sports,Rensselaer Polytechnic Institute,Ice Hockey,65
Zack Barnes,Barstool Sports,Kent State University,Ice Hockey,65
Kyle Loken,Barstool Sports,University of Detroit Mercy,Lacrosse,65
Jadyn Jay,Barstool Sports,University of Kansas,Rowing,65
Tucker Brown,Barstool Sports,Saint Joseph's University,Lacrosse,65
Mitchell Zoloty,Barstool Sports,Butler University,Football,65
Jalen Dupree,Barstool Sports,Tennessee State University,Basketball,65
Breana Gambrell,Barstool Sports,Pennsylvania State University,Track and Field,65
Ivey Weber,Barstool Sports,Arizona State University,Beach Volleyball,65
Maeve Carroll,Barstool Sports,University of Maine,Basketball,65
Chris Pearsons,Barstool Sports,University of Massachusetts Amherst,Baseball,66
Grayson Sandlin,Barstool Sports,Harvard University,Football,66
Lindsay Lahr,Barstool Sports,Missouri State University,Volleyball,66
Spencer Mooberry,Barstool Sports,North Dakota State University,Wrestling,66
Lauren Sandidge,Barstool Sports,College of Charleston,Soccer,66
Camari Williams,Barstool Sports,United States Naval Academy,Football,66
Owen Stamper,Barstool Sports,Middle Tennessee State University,Golf,66
Maggie Dickman,Barstool Sports,Wake Forest University,Field Hockey,66
Jake Gehri,Barstool Sports,Yale University,Baseball,66
Brock Myers,Barstool Sports,Tennessee Technological University,Baseball,66
John Beckley,Barstool Sports,Wofford College,Football,66
Mia Peterson,Barstool Sports,New Mexico State University,Volleyball,66
Delaney Richason,Barstool Sports,University of Vermont,Basketball,66
Hunter Barnett,Barstool Sports,Providence College,Ice Hockey,66
Asjia O'Neal,Degree Deodorant,University of Texas at Austin,Volleyball,66
Bailey Moody,Degree Deodorant,University of Alabama,Wheelchair Basketball,66
Cam Mack,Degree Deodorant,Prairie View A&M University,Basketball,66
Chayla Edwards,Degree Deodorant,University of Wisconsin-Madison,Ice Hockey,66
Emma Hoffart,Degree Deodorant,Missouri Western State University,Softball,66
Jazmyn Foberg,Degree Deodorant,University of Florida,Gymnastics,66
Jhenna Gabriel,Degree Deodorant,University of Texas at Austin,Volleyball,67
Lawrence Sapp,Degree Deodorant,University of Cincinnati,Para Swimming,67
Logan Eggleston,Degree Deodorant,University of Texas at Austin,Volleyball,67
Matt Henningsen,Degree Deodorant,University of Wisconsin-Madison,Football,67
Nimari Burnett,Degree Deodorant,University of Alabama,Basketball,67
Saquan Singleton,Degree Deodorant,University of New Mexico,Basketball,67
Hunter Jump,Barstool Sports,Arizona State University,Baseball,67
Thomas Walters,Barstool Sports,University of Notre Dame,Track and Field,67
Justin Holloway,Barstool Sports,Ohio University,Football,67
Ethan Long,Barstool Sports,Pennsylvania State University,Lacrosse,67
Tate Hallock,Barstool Sports,Michigan State University,Football,67
Jack Hawes,Barstool Sports,University of Alabama,Cross Country,67
Carter Hilleary,Barstool Sports,The Ohio State University,Lacrosse,67
Zionn Pearson,Barstool Sports,University of Nebraska-Lincoln,Track and Field,67
Paige Tyson,Barstool Sports,Virginia Tech,Lacrosse,67
Jan Figueroa,Barstool Sports,University of Tampa,Track and Field,67
Sam Wolf,Barstool Sports,Wright State University,Volleyball,67
Everett Johnson,Barstool Sports,"University of California, Berkeley",Football,67
Emily Gillis,Barstool Sports,Gardner-Webb University,Basketball,67
Joe Joe Headen,Barstool Sports,Old Dominion University,Football,67
Kyle Bischof,Barstool Sports,University of Akron,Football,68
Evan Rasmussen,Barstool Sports,University of Michigan,Soccer,68
Eddie Walsh,Barstool Sports,Xavier University,Soccer,68
Owen Finnerty,Barstool Sports,University of Michigan,Soccer,68
Robby Romano,Barstool Sports,Siena College,Soccer,68
Ellie Ruprich,Barstool Sports,University of South Carolina,Volleyball,68
Bryce Thoman,Barstool Sports,Temple University,Football,68
Molly Galloway,Barstool Sports,University of Colorado Boulder,Lacrosse,68
Connor Herceg,Barstool Sports,Lehigh University,Wrestling,68
Ryan Walk,Barstool Sports,University of Oregon,Football,68
Ricardo Carreras,Barstool Sports,St. John's University,Lacrosse,68
Emily Carroll,Barstool Sports,Sacred Heart University,Softball,68
Ashley Zulauf,Barstool Sports,Indiana University,Volleyball,68
Jake Feiner,Barstool Sports,University of Dayton,Soccer,68
CJ Schaible,Barstool Sports,University of Delaware,Baseball,68
Marley Meyer,Barstool Sports,"University of California, Berkeley",Field Hockey,68
Kaitlyn Kynast,Barstool Sports,Stanford University,Rowing,68
Jake Durflinger,Barstool Sports,University of Denver,Ice Hockey,68
Kathleen Jones,Barstool Sports,The Ohio State University,Tennis,68
Bradyn Ricca,Barstool Sports,Florida Gulf Coast University,Cross Country,68
Joe Rafter,Barstool Sports,Auburn University,Wheelchair Basketball,69
Logan Langemeier,Barstool Sports,Georgia Southern University,Football,69
Rex Fleming,Barstool Sports,"University of Maryland, College Park",Football,69
Chantal Nadia,Barstool Sports,Brown University,Basketball,69
Cody Benton,Barstool Sports,University of North Carolina at Wilmington,Baseball,69
Claire Wyatt,Barstool Sports,High Point University,Basketball,69
Olivia Szyszkiewicz,Barstool Sports,Jacksonville University,Volleyball,69
Sam Hillegas,Barstool Sports,Virginia Tech,Wrestling,69
Rob McCollum,Barstool Sports,Long Island University,Ice Hockey,69
Nino Bonaccorsi,Barstool Sports,University of Pittsburgh,Wrestling,69
Juliana George,Barstool Sports,Virginia Commonwealth University,Lacrosse,69
Aspen Anderson,Barstool Sports,Dartmouth College,Soccer,69
Alec Lowe,Barstool Sports,Providence College,Soccer,69
Mia Stander,Barstool Sports,University of Louisville,Volleyball,69
Reign Williams,Barstool Sports,Georgia Southern University,Softball,69
Montana Lloyd,Barstool Sports,"University of Nevada, Reno",Swimming and Diving,69
Mackenzie Wilson,Barstool Sports,University of Maine,Track and Field,69
Joe Doyle,Barstool Sports,Binghamton University,Wrestling,69
Grace Cox,Barstool Sports,Marshall University,Swimming and Diving,69
Abbie Schad,Barstool Sports,Indiana University - Purdue University Indianapolis,Soccer,69
Matthew Reardon,Barstool Sports,Miami University,Football,70
Ã©lan McCall,Barstool Sports,"University of California, Los Angeles",Volleyball,70
Makenzie Taylor,Barstool Sports,North Carolina State University,Volleyball,70
Sam Sutton,Barstool Sports,Miami University,Swimming and Diving,70
Cole Koeppel,Barstool Sports,University of Massachusetts Amherst,Baseball,70
Bryce Henaire,Barstool Sports,University of Maine,Football,70
Jedi Morland Janes,Barstool Sports,St. Francis College,Swimming and Diving,70
Matthew Radtka,Barstool Sports,University of Akron,Baseball,70
Brian Cowhey,Barstool Sports,University of Pennsylvania,Squash,70
Jack Nolley,Barstool Sports,University of Nebraska-Lincoln,Track and Field,70
Logan Gilbertson,Barstool Sports,University of Central Arkansas,Baseball,70
Lillian Wyckoff,Barstool Sports,Arizona State University,Track and Field,70
Billy Shaeffer,Barstool Sports,Lafayette College,Football,70
Bryson Childress,Barstool Sports,High Point University,Basketball,70
Devon Buckshot,Barstool Sports,High Point University,Lacrosse,70
Joe Doyle,Barstool Sports,University of Memphis,Football,70
Da'Quan Grimes,Barstool Sports,Monmouth University,Football,70
Jacob Frater,Barstool Sports,Baylor University,Football,70
Liz Brechtel,Barstool Sports,Southern Illinois University Carbondale,Soccer,70
Bradley Archer,Barstool Sports,Stanford University,Football,70
Todd Mozoki,Barstool Sports,James Madison University,Baseball,71
Spencer Harris,Barstool Sports,Georgetown University,Football,71
Nick Zwack,Barstool Sports,Xavier University,Baseball,71
Jake Silverstein,Barstool Sports,University of Dayton,Baseball,71
Kimberly Wert,Barstool Sports,University of Missouri,Softball,71
Brad Godwin,Barstool Sports,Eastern Washington University,Football,71
Olivia Durham,Barstool Sports,Georgia Southern University,Soccer,71
Milton Braasch II,Barstool Sports,Colgate University,Football,71
Ryan Furlong,Barstool Sports,Canisius College,Lacrosse,71
Emily Dunn,Barstool Sports,Saint Joseph's University,Cross Country,71
Sean Ryan,Barstool Sports,The Ohio State University,Volleyball,71
Tyson Kirkby,Barstool Sports,State University of New York at Oswego,Ice Hockey,71
Payton Brotzki,Barstool Sports,Creighton University,Baseball,71
Cy Kerber,Barstool Sports,Tennessee Technological University,Baseball,71
Judd Cockett,Barstool Sports,Southern Utah University,Football,71
Bennett Maczka,Barstool Sports,Texas Christian University,Swimming and Diving,71
Daniel Tanaka,Barstool Sports,Butler University,Golf,71
Harrison Barker,Barstool Sports,University of Alabama at Birmingham,Football,71
Thomas Rush,Barstool Sports,University of Minnesota,Football,71
Pearce Augier,Barstool Sports,University of Delaware,Volleyball,71
Justin Markus,Barstool Sports,"California State University, Bakersfield",Soccer,72
David Wohlabaugh Jr.,Barstool Sports,University of Kentucky,Football,72
Kaley Attaway,Barstool Sports,Butler University,Lacrosse,72
Rachel Apa,Barstool Sports,Bucknell University,Field Hockey,72
Maggi Hall,Barstool Sports,University of Florida,Lacrosse,72
Kristen Arias,Barstool Sports,Drake University,Softball,72
Katelyn Bartley,Barstool Sports,Colorado State University,Swimming and Diving,72
Sam Klein,Barstool Sports,Ball State University,Baseball,72
Gaby Roy,Barstool Sports,Boston College,Ice Hockey,72
Janeah Finney,Barstool Sports,University of South Alabama,Softball,72
Cole Kodsi,Barstool Sports,Bentley University,Ice Hockey,72
Jace Kressin,Barstool Sports,University of Evansville,Baseball,72
Tony Madrigal,Barstool Sports,University of Oklahoma,Wrestling,72
Mitchel Collier,Barstool Sports,Central Michigan University,Football,72
Rylee Anderson,Barstool Sports,University of Kansas,Track and Field,72
Elliot Kadans,Barstool Sports,North Carolina Agricultural and Technical State University,Football,72
Lauren Park,Barstool Sports,Ohio University,Volleyball,72
Kaleb Smith,Barstool Sports,Virginia Tech,Football,72
Ryland Goede,Barstool Sports,University of Georgia,Football,72
Judson Hershiser,Barstool Sports,Troy University,Baseball,72
Mike Fangman,Barstool Sports,Missouri State University,Football,73
Cade Keesling,Barstool Sports,Dartmouth College,Soccer,73
Christian Tackett,Barstool Sports,Lehigh University,Track and Field,73
Diego Castillo,Barstool Sports,"University of California, Santa Barbara",Tennis,73
Jack Howe,Barstool Sports,Georgetown University,Lacrosse,73
Carlee Allen,Barstool Sports,University of Texas at Austin,Soccer,73
Jacob Ballew,Barstool Sports,University of Tennessee at Chattanooga,Baseball,73
Leo O'Boyle,Barstool Sports,Lafayette College,Basketball,73
